tada_type,tada_conc,condition,edit_type,n_pairs,mut_mean_percent,mut_se_percent,wt_mean_percent,wt_se_percent,difference_percentage_points,fold_change,p_value,p_adjusted_bh,significance
lambdaN,250nM,37_30min,frac_1edit,15,5.184371943893676,0.5279270540673123,13.071677893621356,0.9399589255799115,7.88730594972768,2.521361899779897,8.573285584426012e-07,3.5250466619456944e-06,***
lambdaN,250nM,37_30min,frac_2edit,15,1.1874449629459416,0.2854265679844873,4.418533629753707,0.40874666716204916,3.231088666807765,3.7210428842038556,2.6222284345141144e-06,5.244456869028229e-06,***
lambdaN,250nM,37_1hr,frac_1edit,15,7.212359007897446,0.6626363490890205,16.126922469042317,1.197635920366709,8.91456346114487,2.2360121634798724,1.1750155539818981e-06,3.5250466619456944e-06,***
lambdaN,250nM,37_1hr,frac_2edit,15,2.357688817810235,0.5267034046845257,8.14834379027286,0.9595377381137082,5.790654972462624,3.456072628719869,3.318161656293216e-05,3.318161656293216e-05,***
lambdaN,250nM,37_2hr,frac_1edit,15,9.210003694103932,0.8718513026251474,16.797551000597,1.18541804848993,7.587547306493068,1.8238375964333728,5.709761878208246e-06,8.56464281731237e-06,***
lambdaN,250nM,37_2hr,frac_2edit,15,4.065789802415731,0.8273901185735393,13.554057790509995,1.3413197183847265,9.488267988094265,3.3336838472212,2.2359300238922842e-05,2.683116028670741e-05,***
