tada_type,tada_conc,edit_type,n_pairs,mut_mean_percent,mut_se_percent,wt_mean_percent,wt_se_percent,difference_percentage_points,fold_change,p_value,p_adjusted_bh,significance
lambdaN,125nM,frac_1edit,15,3.26,0.66,2.05,0.51,-1.21,0.63,0.002931917546973875,0.00839305793042431,**
lambdaN,125nM,frac_2edit,15,1.22,0.52,0.19,0.06,-1.03,0.16,0.05171339160704036,0.10342678321408072,ns
lambdaN,250nM,frac_1edit,15,3.93,0.6,2.27,0.51,-1.65,0.58,0.0013184422400893587,0.005273768960357435,**
lambdaN,250nM,frac_2edit,15,1.27,0.48,0.35,0.1,-0.92,0.27,0.08295806293282225,0.14221382217055242,ns
lambdaN,500nM,frac_1edit,15,19.96,1.9,4.22,0.56,-15.73,0.21,7.946148424406037e-7,9.535378109287244e-6,***
lambdaN,500nM,frac_2edit,15,9.39,1.64,4.99,2.35,-4.4,0.53,0.10640672673853815,0.15961009010780725,ns
tada_only,125nM,frac_1edit,15,6.9,0.8,2.9,0.33,-4,0.42,2.1444270428898368e-4,0.001286656225733902,**
tada_only,125nM,frac_2edit,15,3.34,0.83,2.81,0.85,-0.54,0.84,0.6963650829688358,0.8859987112521897,ns
tada_only,250nM,frac_1edit,15,11.21,1.1,6.65,0.64,-4.56,0.59,0.003497107471010129,0.00839305793042431,**
tada_only,250nM,frac_2edit,15,7.76,1.53,7.14,1.95,-0.62,0.92,0.8251226972957065,0.8859987112521897,ns
tada_only,500nM,frac_1edit,15,20.41,1.59,21.13,2.11,0.72,1.04,0.7457649518575007,0.8859987112521897,ns
tada_only,500nM,frac_2edit,15,29.64,3.49,30.52,5.75,0.88,1.03,0.8859987112521897,0.8859987112521897,ns
